sgRNA	gene	9606.sample	CRISPR_C6596666.sample
EDN3_CCDS13477.1_ex2_20:57896084-57896107:+_5-5	EDN3	380	339
KLHL11_CCDS11411.1_ex1_17:40021217-40021240:+_5-5	KLHL11	269	361
DTX3L_CCDS3015.1_ex1_3:122284857-122284880:+_5-3	DTX3L	313	261
ARID3B_CCDS10264.1_ex0_15:74836671-74836694:-_5-3	ARID3B	394	403
MFI2_CCDS3325.1_ex14_3:196754706-196754729:-_5-5	MFI2	598	654
KCTD13_CCDS10661.1_ex5_16:29937099-29937122:+_5-5	KCTD13	608	676
SLC47A1_CCDS11209.1_ex3_17:19451293-19451316:-_5-3	SLC47A1	880	713
sgDDR2_3	DDR2_LS	408	397
STAT6_CCDS53804.1_ex16_12:57500319-57500342:-_5-5	STAT6	843	654
CIITA_CCDS10544.1_ex1_16:10989266-10989289:+_5-2	CIITA	696	554
CNPY4_CCDS34701.1_ex3_7:99720415-99720438:+_5-4	CNPY4	536	486
THRB_CCDS2641.1_ex6_3:24231702-24231725:+_5-5	THRB	571	593
OSM_CCDS13873.1_ex0_22:30660416-30660439:+_5-3	OSM	224	225
RAX2_CCDS12112.1_ex0_19:3770951-3770974:-_5-3	RAX2	882	654
ATXN3L_CCDS48080.1_ex0_X:13337804-13337827:+_5-4	ATXN3L	289	130
sgMBD2_7	MBD2_LS	450	632
TPST2_CCDS13839.1_ex3_22:26937096-26937119:+_5-2	TPST2	530	412
FANCE_CCDS4805.1_ex0_6:35420490-35420513:-_5-1	FANCE	425	347
PRSS16_CCDS4623.1_ex6_6:27219010-27219033:+_5-4	PRSS16	439	475
LBR_CCDS1545.1_ex8_1:225605684-225605707:-_5-1	LBR	351	387
TTC16_CCDS6875.1_ex3_9:130479912-130479935:+_5-1	TTC16	766	772
FOXP1_CCDS2914.1_ex10_3:71090508-71090531:+_10-2	FOXP1	415	517
TRIM8_CCDS31274.1_ex0_10:104404898-104404921:+_5-4	TRIM8	685	661
ATP11A_CCDS32011.1_ex13_13:113487331-113487354:-_5-5	ATP11A	398	481
GALNT6_CCDS8813.1_ex9_12:51773180-51773203:-_5-4	GALNT6	580	579
MS4A1_CCDS31570.1_ex0_11:60229963-60229986:-_5-1	MS4A1	398	321
SH2D4A_CCDS55206.1_ex4_8:19218796-19218819:+_5-2	SH2D4A	0	0
LUZP2_CCDS31446.1_ex8_11:25004770-25004793:-_5-5	LUZP2	390	362
UGT2A2_CCDS56331.1_ex5_4:70505232-70505255:-_5-5	UGT2A2	654	561
HIST1H2BG_CCDS4594.1_ex0_6:26216689-26216712:-_5-2	HIST1H2BG	33	495
FAM216A_CCDS31899.1_ex2_12:110922993-110923016:-_5-3	FAM216A	82	61
sgTRMT61B_9	TRMT61B_LS	293	492
sgPPP2R1A_8	PPP2R1A_LS	531	551
TJP1_CCDS42007.1_ex23_15:30058532-30058555:+_5-5	TJP1	1071	999
TMEM130_CCDS47649.1_ex4_7:98453687-98453710:-_5-1	TMEM130	736	855
AKAP9_CCDS5622.1_ex7_7:91630466-91630489:-_5-1	AKAP9	84	122
PCDHGB2_CCDS54924.1_ex0_5:140740764-140740787:-_5-4	PCDHGB2	374	365
CSN3_CCDS3538.1_ex2_4:71114855-71114878:-_5-3	CSN3	514	492
TSTD1_CCDS44258.1_ex1_1:161008355-161008378:-_10-9	TSTD1	664	613
CYB5A_CCDS12004.1_ex3_18:71930700-71930723:-_6-4	CYB5A	434	419
KMT2B_CCDS46055.1_ex7_19:36214894-36214917:-_5-3	KMT2B	307	403
SHF_CCDS10120.2_ex6_15:45490955-45490978:+_5-2	SHF	693	899
SMARCB1_CCDS13817.1_ex3_22:24143260-24143283:-_5-5	SMARCB1	375	434
PLSCR4_CCDS3133.1_ex5_3:145924331-145924354:-_5-1	PLSCR4	434	330
MRPL12_CCDS11785.1_ex1_17:79671417-79671440:-_5-3	MRPL12	366	407
FGF4_CCDS8194.1_ex2_11:69589538-69589561:-_5-1	FGF4	1126	1029
OXR1_CCDS47909.1_ex11_8:107752696-107752719:+_12-12	OXR1	214	187
FLG2_CCDS30861.1_ex0_1:152329080-152329103:-_5-1	FLG2	505	360
ALDH1A2_CCDS10163.1_ex4_15:58256219-58256242:+_5-1	ALDH1A2	214	166
NT5C3B_CCDS11410.2_ex3_17:39987062-39987085:+_5-1	NT5C3B	488	340
PCDHGA12_CCDS4260.1_ex0_5:140811168-140811191:+_5-4	PCDHGA12	334	430
TMC4_CCDS12882.1_ex10_19:54671948-54671971:+_5-2	TMC4	583	644
MAFK_CCDS5325.1_ex1_7:1579743-1579766:-_5-5	MAFK	664	676
RBM22_CCDS34278.1_ex7_5:150078134-150078157:+_5-3	RBM22	664	507
MAP3K11_CCDS8107.1_ex6_11:65375185-65375208:+_5-2	MAP3K11	344	387
PARP11_CCDS66281.1_ex0_12:3921579-3921602:+_5-1	PARP11	169	225
AP5B1_CCDS58146.1_ex0_11:65547372-65547395:+_5-4	AP5B1	276	367
SMIM17_CCDS58683.1_ex0_19:57157136-57157159:+_5-1	SMIM17	780	561
NACA2_CCDS11630.1_ex0_17:59668316-59668339:-_5-3	NACA2	271	272
ERN2_CCDS32407.1_ex21_16:23724490-23724513:-_5-5	ERN2	436	568
SMARCD1_CCDS8797.2_ex3_12:50480528-50480551:+_5-3	SMARCD1	278	396
NEUROD4_CCDS8886.1_ex0_12:55420708-55420731:+_5-5	NEUROD4	319	301
CNTNAP5_CCDS46401.1_ex8_2:125281906-125281929:+_5-3	CNTNAP5	663	611
TMC2_CCDS13029.2_ex6_20:2560680-2560703:+_5-2	TMC2	600	378
C5orf52_CCDS47329.1_ex0_5:157098727-157098750:+_5-2	C5orf52	605	493
BID_CCDS13747.1_ex1_22:18220946-18220969:+_11-3	BID	662	534
NTF3_CCDS44806.1_ex1_12:5603721-5603744:+_5-3	NTF3	561	484
ZNF610_CCDS12851.1_ex3_19:52869204-52869227:+_7-6	ZNF610	96	91
SLC23A1_CCDS4212.1_ex12_5:138718221-138718244:-_5-5	SLC23A1	262	456
ZNF485_CCDS7205.2_ex3_10:44111729-44111752:+_5-1	ZNF485	628	450
NCSTN_CCDS1203.1_ex5_1:160321144-160321167:+_5-2	NCSTN	330	429
sgUTY_2	UTY_LS	482	402
TMEM17_CCDS1871.1_ex3_2:62733169-62733192:-_5-5	TMEM17	552	579
P2RY11_CCDS12226.1_ex1_19:10224564-10224587:+_5-3	P2RY11	384	617
RBM8A_CCDS916.1_ex1_1:145508041-145508064:+_5-1	RBM8A	74	408
CRYGC_CCDS2379.1_ex0_2:208993184-208993207:-_5-3	CRYGC	452	431
KLHL9_CCDS6503.1_ex0_9:21333961-21333984:+_5-1	KLHL9	602	466
PDCD11_CCDS31276.1_ex9_10:105174052-105174075:+_5-3	PDCD11	85	339
TLX1_CCDS55725.1_ex0_10:102891583-102891606:-_5-4	TLX1	1004	908
UTF1_CCDS31318.1_ex0_10:135044231-135044254:+_5-4	UTF1	950	800
sgPOLE2_1	POLE2_LS	36	459
WDR88_CCDS12429.1_ex0_19:33623196-33623219:-_5-1	WDR88	802	749
PRKRIR_CCDS8243.1_ex0_11:76063208-76063231:-_5-1	PRKRIR	347	468
ZNF587B_CCDS56109.1_ex2_19:58352319-58352342:-_5-1	ZNF587B	704	614
FLT3LG_CCDS12767.1_ex4_19:49982263-49982286:+_6-5	FLT3LG	536	689
AGAP3_CCDS43681.1_ex7_7:150817067-150817090:+_9-7	AGAP3	472	461
MZB1_CCDS47273.1_ex1_5:138723778-138723801:-_5-2	MZB1	370	295
NRAS_CCDS877.1_ex3_1:115258655-115258678:+_5-5	NRAS	389	426
MAPKBP1_CCDS32201.1_ex4_15:42104299-42104322:+_5-2	MAPKBP1	657	630
RGS7_CCDS31071.1_ex10_1:241032110-241032133:-_5-2	RGS7	797	498
TMEM209_CCDS47712.1_ex10_7:129841723-129841746:-_5-3	TMEM209	515	649
LANCL2_CCDS5517.1_ex2_7:55466111-55466134:-_5-3	LANCL2	694	455
PICALM_CCDS31653.1_ex10_11:85712149-85712172:+_5-3	PICALM	534	610
FAM126A_CCDS5377.1_ex5_7:23016310-23016333:-_5-3	FAM126A	322	367
SLC9A2_CCDS2062.1_ex0_2:103236511-103236534:-_5-3	SLC9A2	256	343
UBA52_CCDS12382.1_ex2_19:18685692-18685715:-_5-4	UBA52	24	814
sgARID4B_5	ARID4B_LS	269	166
sgZC3HAV1_3	ZC3HAV1_LS	633	756
SLC9A5_CCDS42178.1_ex5_16:67290508-67290531:+_5-4	SLC9A5	379	338
STK32B_CCDS3380.1_ex3_4:5333083-5333106:-_5-2	STK32B	298	255
sgNLRP3_9	NLRP3_LS	353	299
PNO1_CCDS1885.1_ex1_2:68385623-68385646:+_5-5	PNO1	73	192
CRLS1_CCDS13096.1_ex0_20:5987189-5987212:-_8-2	CRLS1	561	747
ST8SIA3_CCDS32834.1_ex0_18:55020214-55020237:-_5-1	ST8SIA3	493	611
sgEEF2K_4	EEF2K_LS	297	422
HOPX_CCDS3507.1_ex1_4:57522031-57522054:+_7-4	HOPX	405	492
C12orf79_CCDS58261.1_ex2_12:92382915-92382938:-_8-8	C12orf79	418	368
PDE4C_CCDS12373.1_ex7_19:18330192-18330215:-_5-2	PDE4C	440	389
SMAGP_CCDS44889.1_ex0_12:51639827-51639850:-_5-1	SMAGP	110	85
NCOA6_CCDS13241.1_ex8_20:33345203-33345226:+_5-4	NCOA6	392	549
GTF2A2_CCDS10173.1_ex2_15:59942932-59942955:+_5-5	GTF2A2	100	389
DEFA6_CCDS5960.1_ex0_8:6782431-6782454:+_5-1	DEFA6	759	592
ADAMTS2_CCDS34311.1_ex8_5:178699959-178699982:+_5-1	ADAMTS2	458	317
SOX11_CCDS1654.1_ex0_2:5833406-5833429:+_5-5	SOX11	769	641
C1QTNF1_CCDS11761.1_ex2_17:77043650-77043673:-_6-2	C1QTNF1	268	255
ARL4D_CCDS11463.1_ex0_17:41477287-41477310:-_5-2	ARL4D	543	544
GPRASP2_CCDS14501.1_ex0_X:101970120-101970143:+_5-2	GPRASP2	375	458
PTPMT1_CCDS41643.1_ex0_11:47587324-47587347:-_5-4	PTPMT1	376	637
TSSK4_CCDS53890.1_ex0_14:24675332-24675355:+_5-2	TSSK4	484	578
sgRTEL1_8	RTEL1_LS	241	410
CFHR4_CCDS41451.1_ex1_1:196871710-196871733:+_7-3	CFHR4	562	485
MASTL_CCDS53502.1_ex7_10:27458948-27458971:-_5-4	MASTL	197	195
ASL_CCDS47597.1_ex4_7:65548131-65548154:+_5-3	ASL	345	457
sgDDX42_5	DDX42_LS	335	439
MEF2A_CCDS45362.1_ex5_15:100230593-100230616:+_5-4	MEF2A	351	448
UBA2_CCDS12439.1_ex7_19:34935893-34935916:+_5-3	UBA2	160	401
TBX1_CCDS13765.1_ex1_22:19748531-19748554:-_5-2	TBX1	77	439
sgPOLR3F_2	POLR3F_LS	368	601
TRIM39_CCDS34377.1_ex0_6:30297239-30297262:+_5-1	TRIM39	566	756
NTN5_CCDS33068.1_ex4_19:49167979-49168002:+_5-2	NTN5	578	527
HOXB7_CCDS11532.1_ex1_17:46688144-46688167:+_5-5	HOXB7	549	765
SLC5A3_CCDS33549.1_ex0_21:35468329-35468352:+_5-4	SLC5A3	575	555
PQLC2_CCDS195.2_ex3_1:19652789-19652812:-_5-5	PQLC2	593	640
TLCD2_CCDS45567.1_ex2_17:1613157-1613180:+_5-4	TLCD2	641	674
WHAMM_CCDS45333.1_ex5_15:83492019-83492042:-_5-4	WHAMM	572	601
SYT3_CCDS12798.1_ex6_19:51135914-51135937:-_5-3	SYT3	782	761
PLA2G4E_CCDS55962.1_ex8_15:42287564-42287587:-_5-1	PLA2G4E	382	303
ARL14EPL_CCDS59490.1_ex1_5:115389808-115389831:-_5-5	ARL14EPL	182	146
PTGR2_CCDS9820.1_ex2_14:74340824-74340847:+_5-2	PTGR2	58	134
ANKFY1_CCDS42236.1_ex13_17:4088142-4088165:-_5-1	ANKFY1	190	241
C3orf84_CCDS58831.1_ex0_3:49215391-49215414:+_5-2	C3orf84	609	818
VWA7_CCDS4721.2_ex11_6:31741145-31741168:-_5-1	VWA7	327	429
sgTCF19_6	TCF19_LS	603	670
sgMAST3_7	MAST3_LS	72	471
RAB3IL1_CCDS60809.1_ex4_11:61672227-61672250:-_5-1	RAB3IL1	490	481
HLCS_CCDS13647.1_ex7_21:38309198-38309221:+_5-3	HLCS	1032	907
SDC3_CCDS30661.1_ex2_1:31349650-31349673:+_5-2	SDC3	705	566
ZFPM1_CCDS32502.1_ex5_16:88594437-88594460:+_5-1	ZFPM1	815	696
PLG_CCDS5279.1_ex8_6:161139838-161139861:+_9-9	PLG	588	445
ALKBH7_CCDS12163.1_ex1_19:6374349-6374372:-_5-3	ALKBH7	558	539
PFKFB1_CCDS14364.1_ex6_X:54978498-54978521:-_5-1	PFKFB1	398	517
TMEM186_CCDS10535.1_ex0_16:8890000-8890023:+_5-1	TMEM186	344	478
SLC22A7_CCDS4892.1_ex2_6:43267432-43267455:-_5-5	SLC22A7	641	546
VDAC2_CCDS53544.1_ex3_10:76978924-76978947:+_5-4	VDAC2	102	299
SUGT1_CCDS45050.1_ex8_13:53238164-53238187:-_6-2	SUGT1	499	501
POGZ_CCDS44222.2_ex10_1:151396514-151396537:-_5-3	POGZ	316	517
RNF183_CCDS43866.1_ex0_9:116060219-116060242:+_5-3	RNF183	772	722
DEF8_CCDS10989.1_ex3_16:90023956-90023979:+_6-2	DEF8	604	623
SULF1_CCDS6204.1_ex5_8:70514041-70514064:-_5-5	SULF1	268	354
NOX1_CCDS14474.1_ex6_X:100117266-100117289:-_5-2	NOX1	525	539
TMEM196_CCDS34607.2_ex1_7:19765277-19765300:+_5-2	TMEM196	848	565
WDR46_CCDS4772.1_ex13_6:33256706-33256729:-_5-5	WDR46	154	167
sgRNASEL_9	RNASEL_LS	264	263
EXOG_CCDS2680.1_ex2_3:38542877-38542900:-_5-1	EXOG	286	465
GPX1_CCDS43091.1_ex0_3:49395083-49395106:-_8-1	GPX1	400	436
DUSP4_CCDS6072.1_ex2_8:29197719-29197742:+_5-5	DUSP4	441	496
CMTM6_CCDS2653.1_ex2_3:32533220-32533243:+_5-2	CMTM6	13	37
KLK11_CCDS12818.1_ex1_19:51526446-51526469:+_5-1	KLK11	589	706
sgTNK1_4	TNK1_LS	546	432
LRRC55_CCDS31539.1_ex0_11:56949873-56949896:-_5-5	LRRC55	625	626
RLN1_CCDS6462.1_ex0_9:5335447-5335470:-_4-1	RLN1	214	203
C7orf72_CCDS47585.1_ex0_7:50135894-50135917:-_5-2	C7orf72	665	491
CCR9_CCDS2732.1_ex1_3:45942441-45942464:+_5-1	CCR9	585	605
TCTEX1D2_CCDS33929.1_ex3_3:196042994-196043017:+_5-2	TCTEX1D2	236	201
PNMA2_CCDS34868.1_ex0_8:26365931-26365954:-_5-4	PNMA2	91	99
ANKRD37_CCDS3841.1_ex2_4:186320152-186320175:-_5-5	ANKRD37	328	379
CLDN12_CCDS5618.1_ex0_7:90042190-90042213:-_5-3	CLDN12	396	447
RAB7A_CCDS3052.1_ex1_3:128516890-128516913:+_5-2	RAB7A	357	457
IFNAR2_CCDS13621.1_ex2_21:34617336-34617359:-_5-1	IFNAR2	168	180
OLFM2_CCDS12221.1_ex1_19:9967477-9967500:+_5-1	OLFM2	590	661
EGR1_CCDS4206.1_ex1_5:137802526-137802549:-_5-3	EGR1	609	651
RAB9A_CCDS14156.1_ex0_X:13727061-13727084:+_5-3	RAB9A	597	572
DIO2_CCDS45146.1_ex1_14:80677656-80677679:+_5-4	DIO2	669	732
PTPRN_CCDS2440.1_ex17_2:220167062-220167085:+_5-2	PTPRN	642	533
ABCE1_CCDS34071.1_ex3_4:146030281-146030304:+_5-3	ABCE1	6	338
USP53_CCDS43265.1_ex2_4:120170009-120170032:-_5-2	USP53	434	352
DCDC2B_CCDS44100.1_ex3_1:32677701-32677724:-_5-5	DCDC2B	365	276
sgINTS10_3	INTS10_LS	197	516
SCP2_CCDS44149.1_ex2_1:53504696-53504719:+_16-15	SCP2	520	461
GABRA5_CCDS45194.1_ex5_15:27182413-27182436:+_5-5	GABRA5	425	439
KPRP_CCDS30862.1_ex0_1:152732641-152732664:-_5-3	KPRP	552	495
RASGRF2_CCDS4052.1_ex0_5:80256736-80256759:-_5-2	RASGRF2	471	575
KLHL41_CCDS2234.1_ex0_2:170366453-170366476:-_5-1	KLHL41	396	296
C17orf89_CCDS45809.1_ex1_17:79213417-79213440:-_5-5	C17orf89	267	383
CCBL2_CCDS30766.1_ex9_1:89430636-89430659:+_5-4	CCBL2	382	325
DCSTAMP_CCDS59111.1_ex0_8:105360967-105360990:-_5-2	DCSTAMP	456	460
H1FNT_CCDS8762.1_ex0_12:48723205-48723228:+_5-1	H1FNT	635	542
FAM135A_CCDS34481.1_ex3_6:71186910-71186933:+_5-1	FAM135A	579	463
PCDHB5_CCDS4247.1_ex0_5:140515202-140515225:+_5-1	PCDHB5	421	371
CXADR_CCDS33519.1_ex2_21:18924135-18924158:+_7-6	CXADR	181	207
PAWR_CCDS31863.1_ex4_12:80014954-80014977:-_5-3	PAWR	501	328
IAH1_CCDS42651.1_ex2_2:9618450-9618473:-_5-3	IAH1	205	246
C10orf25_CCDS31187.1_ex1_10:45496132-45496155:+_5-2	C10orf25	434	464
C6orf89_CCDS4827.1_ex4_6:36882423-36882446:+_5-5	C6orf89	426	335
GRB2_CCDS11721.1_ex3_17:73328848-73328871:-_5-5	GRB2	303	407
EYS_CCDS47445.1_ex39_6:66204668-66204691:+_5-1	EYS	141	149
LEAP2_CCDS4163.1_ex1_5:132209738-132209761:-_5-5	LEAP2	417	388
sgATRX_4	ATRX_LS	27	261
SBSN_CCDS12464.1_ex4_19:36018994-36019017:-_5-4	SBSN	664	726
sgNTRK1_7	NTRK1_LS	0	547
MED22_CCDS6963.1_ex2_9:136212069-136212092:-_5-3	MED22	253	601
CHAMP1_CCDS9545.1_ex0_13:115090049-115090072:-_5-2	CHAMP1	626	646
BANP_CCDS10966.2_ex3_16:88039684-88039707:+_5-2	BANP	384	342
TRAPPC6A_CCDS12655.1_ex3_19:45668185-45668208:+_7-4	TRAPPC6A	295	652
CHCHD7_CCDS34895.1_ex2_8:57129016-57129039:+_9-6	CHCHD7	135	103
RFPL4AL1_CCDS59425.1_ex1_19:56283976-56283999:-_1-1	RFPL4AL1	420	531
SLC17A2_CCDS4567.1_ex7_6:25921616-25921639:+_5-3	SLC17A2	592	536
WARS2_CCDS30817.1_ex4_1:119618971-119618994:-_5-2	WARS2	271	244
DNASE2_CCDS12284.1_ex2_19:12989482-12989505:-_5-2	DNASE2	408	467
SMARCA1_CCDS14612.1_ex16_X:128640135-128640158:-_5-3	SMARCA1	623	565
ZNF765_CCDS46171.1_ex2_19:53911363-53911386:+_5-4	ZNF765	298	145
DEFB126_CCDS12990.1_ex1_20:126069-126092:+_5-1	DEFB126	342	293
DUT_CCDS32231.1_ex3_15:48628265-48628288:+_7-7	DUT	3	124
PLK4_CCDS3735.1_ex4_4:128807244-128807267:-_5-4	PLK4	21	182
sgURI1_7	URI1_LS	324	219
NAB2_CCDS8930.1_ex1_12:57484923-57484946:+_5-1	NAB2	556	702
sgRPS29_10	RPS29_LS	38	507
MNAT1_CCDS53899.1_ex2_14:61264846-61264869:+_5-2	MNAT1	190	135
SALL2_CCDS32045.1_ex0_14:21993729-21993752:+_5-5	SALL2	531	562
LGALS14_CCDS12542.1_ex2_19:40197986-40198009:-_6-6	LGALS14	362	287
WRNIP1_CCDS4475.1_ex0_6:2765942-2765965:+_5-1	WRNIP1	722	651
SEPHS1_CCDS55702.1_ex5_10:13378295-13378318:-_5-4	SEPHS1	874	823
UTY_CCDS14783.1_ex16_Y:15471658-15471681:+_5-2	UTY	732	552
LMO1_CCDS44534.1_ex2_11:8251891-8251914:-_5-4	LMO1	535	643
TPSAB1_CCDS10431.1_ex1_16:1291234-1291257:+_4-1	TPSAB1	675	630
METTL21C_CCDS32003.1_ex1_13:103339287-103339310:+_5-1	METTL21C	341	410
PGPEP1_CCDS12375.1_ex2_19:18466739-18466762:-_5-2	PGPEP1	404	569
EXOC7_CCDS11741.1_ex13_17:74093897-74093920:-_5-1	EXOC7	649	830
MTOR_CCDS127.1_ex52_1:11313947-11313970:-_5-4	MTOR	221	447
GOLGA5_CCDS9905.1_ex0_14:93264181-93264204:-_5-2	GOLGA5	447	527
WDR55_CCDS4235.1_ex0_5:140044602-140044625:+_5-1	WDR55	193	978
SENP8_CCDS10240.1_ex0_15:72432200-72432223:-_5-1	SENP8	530	466
GLCE_CCDS32277.1_ex0_15:69548255-69548278:-_5-1	GLCE	716	598
DYNLL2_CCDS11601.1_ex0_17:56164561-56164584:+_5-2	DYNLL2	287	185
KRTAP25-1_CCDS46640.1_ex0_21:31661592-31661615:+_5-1	KRTAP25-1	21	83
SFMBT1_CCDS2867.1_ex16_3:52968820-52968843:+_5-4	SFMBT1	725	627
LLGL2_CCDS11725.1_ex1_17:73552202-73552225:-_5-2	LLGL2	660	615
WDFY2_CCDS9429.1_ex1_13:52234774-52234797:-_5-1	WDFY2	628	619
POU4F2_CCDS34074.1_ex1_4:147561017-147561040:+_5-2	POU4F2	410	490
FAM207A_CCDS13718.1_ex2_21:46380029-46380052:-_5-4	FAM207A	598	453
PDHA2_CCDS3644.1_ex0_4:96761417-96761440:+_5-1	PDHA2	306	240
LRRC8B_CCDS724.1_ex0_1:90048706-90048729:+_5-5	LRRC8B	645	517
TARSL2_CCDS10394.1_ex15_15:102255089-102255112:-_5-3	TARSL2	760	658
sgCDK16_1	CDK16_LS	210	302
LRP6_CCDS8647.1_ex13_12:12315125-12315148:-_5-1	LRP6	515	645
POR_CCDS5579.1_ex2_7:75608784-75608807:+_5-2	POR	526	558
ICK_CCDS4949.1_ex5_6:52878761-52878784:+_5-2	ICK	252	412
ATG4A_CCDS14538.1_ex3_X:107374561-107374584:-_5-2	ATG4A	404	260
LIMD2_CCDS11641.1_ex1_17:61776258-61776281:+_5-4	LIMD2	446	530
CCDC182_CCDS62263.1_ex0_17:55822379-55822402:-_5-2	CCDC182	508	494
TRMT10C_CCDS43122.1_ex0_3:101283793-101283816:-_5-2	TRMT10C	334	414
SPATA13_CCDS53857.1_ex5_13:24861053-24861076:+_5-5	SPATA13	263	450
C8orf31_CCDS6395.1_ex2_8:144126061-144126084:+_5-4	C8orf31	254	470
TELO2_CCDS32363.1_ex1_16:1545384-1545407:-_5-1	TELO2	413	859
SART3_CCDS9117.1_ex18_12:108954674-108954697:-_5-5	SART3	308	593
NT5E_CCDS5002.1_ex0_6:86160177-86160200:-_5-2	NT5E	394	742
SPCS1_CCDS33769.2_ex1_3:52740647-52740670:+_5-3	SPCS1	574	468
HYLS1_CCDS8467.1_ex0_11:125769556-125769579:+_5-4	HYLS1	396	546
ZNF860_CCDS46784.1_ex0_3:32030747-32030770:-_5-1	ZNF860	378	483
PCDHGA2_CCDS47289.1_ex0_5:140719347-140719370:+_5-3	PCDHGA2	571	488
PDCL3_CCDS33261.1_ex3_2:101186126-101186149:+_5-3	PDCL3	430	398
C17orf53_CCDS11477.1_ex2_17:42225768-42225791:+_5-1	C17orf53	978	774
sgBTK_5	BTK_LS	199	280
sgCAMK1_5	CAMK1_LS	606	443
CYP2C18_CCDS44460.1_ex4_10:96480198-96480221:-_5-5	CYP2C18	393	252
DSPP_CCDS43248.1_ex2_4:88533627-88533650:+_5-1	DSPP	358	273
KCNA10_CCDS826.1_ex0_1:111060679-111060702:-_5-1	KCNA10	397	403
KSR1_CCDS58532.1_ex6_17:25919576-25919599:+_5-5	KSR1	468	444
CDKN1C_CCDS44519.1_ex1_11:2906292-2906315:-_5-2	CDKN1C	770	598
LMTK2_CCDS5654.1_ex6_7:97800863-97800886:+_5-1	LMTK2	318	479
PCDHA7_CCDS54918.1_ex0_5:140215039-140215062:-_5-3	PCDHA7	593	498
DCAF6_CCDS1267.2_ex5_1:167960469-167960492:-_5-2	DCAF6	628	416
EIF4E_CCDS34031.1_ex4_4:99812425-99812448:-_5-5	EIF4E	63	520
ZFHX4_CCDS47878.2_ex0_8:77618903-77618926:-_5-4	ZFHX4	627	488
EHHADH_CCDS33901.1_ex1_3:184922485-184922508:-_5-5	EHHADH	675	603
CYP1B1_CCDS1793.1_ex1_2:38302144-38302167:+_5-2	CYP1B1	642	572
JAK2_CCDS6457.1_ex6_9:5064993-5065016:-_5-4	JAK2	369	249
C1QTNF5_CCDS8420.1_ex0_11:119210380-119210403:+_5-3	C1QTNF5	512	604
LRRC40_CCDS646.1_ex14_1:70671075-70671098:+_5-5	LRRC40	395	266
sgPSKH2_5	PSKH2_LS	110	525
FEZF2_CCDS2897.1_ex3_3:62358309-62358332:+_5-4	FEZF2	249	342
VCX2_CCDS35200.1_ex0_X:8138277-8138300:+_1-1	VCX2	408	648
N6AMT1_CCDS33525.1_ex1_21:30250625-30250648:-_5-1	N6AMT1	289	496
TCEB1_CCDS34910.1_ex0_8:74858985-74859008:+_6-2	TCEB1	33	552
HACL1_CCDS2627.1_ex15_3:15642645-15642668:+_5-5	HACL1	681	611
ANAPC15_CCDS60880.1_ex2_11:71821574-71821597:+_6-4	ANAPC15	294	325
FGF19_CCDS8193.1_ex2_11:69518483-69518506:-_5-4	FGF19	790	663
FBXO34_CCDS32086.1_ex0_14:55818022-55818045:+_5-5	FBXO34	502	543
SPSB1_CCDS102.1_ex0_1:9416215-9416238:+_5-4	SPSB1	600	531
RETNLB_CCDS2953.1_ex2_3:108475924-108475947:+_5-5	RETNLB	64	65
AGAP2_CCDS44932.1_ex13_12:58126639-58126662:-_5-1	AGAP2	290	420
HBEGF_CCDS4223.1_ex3_5:139725491-139725514:-_5-3	HBEGF	626	493
GRIN2C_CCDS32724.1_ex10_17:72848306-72848329:-_5-5	GRIN2C	459	801
sgDDX1_3	DDX1_LS	302	473
SELO_CCDS43034.1_ex0_22:50639557-50639580:+_5-1	SELO	656	705
SRPRB_CCDS3081.1_ex3_3:133529983-133530006:-_5-5	SRPRB	655	947
INSM1_CCDS13143.1_ex0_20:20349164-20349187:-_5-1	INSM1	728	642
DOK7_CCDS3370.2_ex3_4:3478099-3478122:+_5-4	DOK7	886	589
NDNL2_CCDS10023.1_ex0_15:29561585-29561608:-_5-4	NDNL2	67	143
NDUFS2_CCDS1224.1_ex2_1:161176275-161176298:-_5-1	NDUFS2	377	538
RBM5_CCDS2810.1_ex10_3:50144923-50144946:-_5-5	RBM5	459	519
CTRL00745	NON-TARGETING	686	559
LYAR_CCDS3374.1_ex6_4:4283515-4283538:-_5-3	LYAR	666	665
FAAH2_CCDS14375.1_ex2_X:57337121-57337144:+_5-2	FAAH2	420	522
NUP153_CCDS4541.1_ex20_6:17688686-17688709:-_5-4	NUP153	362	454
VASH2_CCDS1511.1_ex2_1:213146029-213146052:-_5-4	VASH2	710	557
LARP7_CCDS3701.2_ex5_4:113568621-113568644:-_5-5	LARP7	542	579
SLC2A13_CCDS8736.2_ex6_12:40345109-40345132:+_5-1	SLC2A13	781	660
CEACAM6_CCDS12585.1_ex2_19:42265341-42265364:+_5-5	CEACAM6	381	449
CLECL1_CCDS8603.1_ex1_12:9885557-9885580:+_5-1	CLECL1	467	372
CHMP1A_CCDS45552.1_ex2_16:89713636-89713659:-_5-1	CHMP1A	672	645
C19orf81_CCDS54296.1_ex3_19:51161292-51161315:-_5-5	C19orf81	716	553
SPRR2G_CCDS30868.1_ex0_1:153122449-153122472:+_4-3	SPRR2G	655	724
MLH1_CCDS2663.1_ex11_3:37067231-37067254:-_5-5	MLH1	563	441
C1orf233_CCDS55559.1_ex0_1:1535015-1535038:+_5-2	C1orf233	573	570
GNE_CCDS47965.1_ex9_9:36246250-36246273:+_5-4	GNE	385	364
