sgRNA	gene	9606.sample	CRISPR_C6596666.sample
CSPP1_CCDS43744.1_ex9_8:68026080-68026103:+_5-4	CSPP1	327	329
ZNF79_CCDS6871.1_ex3_9:130198229-130198252:+_5-3	ZNF79	675	606
sgSNRPA1_6	SNRPA1_LS	5	221
DECR2_CCDS10409.1_ex5_16:460692-460715:-_5-5	DECR2	604	617
SGCG_CCDS9299.1_ex2_13:23824807-23824830:+_5-4	SGCG	444	622
KIF13B_CCDS55217.1_ex30_8:29033662-29033685:+_5-4	KIF13B	415	451
CFP_CCDS14282.1_ex6_X:47487619-47487642:+_5-3	CFP	664	630
DNAJC9_CCDS7322.1_ex3_10:75006444-75006467:-_5-3	DNAJC9	311	198
TP53I13_CCDS42289.1_ex5_17:27899202-27899225:+_5-4	TP53I13	442	359
G3BP1_CCDS4319.1_ex5_5:151176896-151176919:-_5-5	G3BP1	134	187
TARM1_CCDS46173.1_ex2_19:54578297-54578320:+_5-5	TARM1	732	859
NADSYN1_CCDS8201.1_ex7_11:71184609-71184632:+_5-2	NADSYN1	682	543
FTSJ2_CCDS5328.1_ex1_7:2279127-2279150:+_5-4	FTSJ2	480	712
sgACHE_7	ACHE_LS	556	432
TRIM21_CCDS44525.1_ex5_11:4411318-4411341:-_5-4	TRIM21	638	435
DCLRE1A_CCDS7584.1_ex8_10:115612524-115612547:-_5-4	DCLRE1A	393	513
IPO9_CCDS1415.1_ex3_1:201817532-201817555:+_5-1	IPO9	420	426
MPHOSPH9_CCDS9243.2_ex21_12:123712134-123712157:-_5-5	MPHOSPH9	492	368
SOS1_CCDS1802.1_ex13_2:39249912-39249935:-_5-3	SOS1	446	487
CYP3A43_CCDS5675.1_ex5_7:99445805-99445828:-_6-2	CYP3A43	291	334
C17orf85_CCDS45578.1_ex9_17:3732550-3732573:+_5-4	C17orf85	592	555
WASL_CCDS34743.1_ex5_7:123336766-123336789:+_5-2	WASL	121	196
CASP1_CCDS8330.1_ex6_11:104903840-104903863:-_14-13	CASP1	44	94
ECSIT_CCDS12262.1_ex5_19:11624819-11624842:-_12-10	ECSIT	312	520
KLHL10_CCDS42340.1_ex1_17:39998157-39998180:+_5-3	KLHL10	241	279
