"sgRNA","gene","logFC","logCPM","LR","PValue","FDR"
"IK_CCDS47280.1_ex8_5:140035480-140035503:-_5-3","IK",-3.64045163975816,0.954175061131912,36.8435695336985,1.27997568319211e-09,2.13987783745132e-06
"EIF4A3_CCDS11767.1_ex11_17:78120594-78120617:+_5-4","EIF4A3",-4.07610666060902,0.90616662496093,36.6437208543473,1.41815083635498e-09,2.32697542603832e-06
"EEF2_CCDS12117.1_ex10_19:3982396-3982419:-_5-2","EEF2",-3.46443616049982,1.9954664430332,36.5844995320786,1.46189576206799e-09,2.35514065261447e-06
"RPL23_CCDS11330.1_ex2_17:37008915-37008938:-_5-4","RPL23",-4.00522126795672,1.22040874356777,36.5458657833375,1.49115895097384e-09,2.35938625017837e-06
"RPS20_CCDS55231.1_ex2_8:56986252-56986275:-_5-2","RPS20",-3.78468372218921,0.745828564785555,36.4854233757649,1.53812222138803e-09,2.3909975008475e-06
"RPL13_CCDS10979.1_ex1_16:89627760-89627783:-_5-5","RPL13",-3.7963472984488,1.50705364217483,36.1860926259958,1.79345888172273e-09,2.73984858058491e-06
"RPL36_CCDS12147.1_ex1_19:5691388-5691411:-_5-4","RPL36",-4.1250171703736,0.844607234271826,36.1168902869076,1.85829156810098e-09,2.77393144157431e-06
"ERH_CCDS9794.1_ex1_14:69853671-69853694:+_5-2","ERH",-3.40247136190841,1.14716022817692,36.0959361288886,1.87838167273614e-09,2.77393144157431e-06
"POLR2H_CCDS3264.1_ex4_3:184085962-184085985:+_9-8","POLR2H",-3.2625164663069,1.30181367939915,35.7090824814351,2.29093453600634e-09,3.32522030989284e-06
"UBA1_CCDS14275.1_ex7_X:47061589-47061612:+_5-5","UBA1",-3.45135676509119,1.50433950961251,35.6767327177546,2.32929455542297e-09,3.32522030989284e-06
"RPL18_CCDS12726.1_ex4_19:49120562-49120585:+_5-5","RPL18",-3.92666830306828,0.678565315771061,35.6476953801829,2.36427419726936e-09,3.32522030989284e-06
