"sgRNA","gene","plasmid","HT29_c905","HT29_c906","HT29_c907","HT29_c908","SW626_c905"
"AARS_CCDS32474.1_ex18_16:70310945-70310968:-_5-5","AARS",291,20.3333333333333,6.5,0,12.1666666666667,59.3333333333333
"AARS2_CCDS34464.1_ex13_6:44274062-44274085:+_5-1","AARS2",548,458,545.166666666667,329.333333333333,624.333333333333,306
"AARS2_CCDS34464.1_ex15_6:44274721-44274744:-_5-2","AARS2",426,319,372.166666666667,216.666666666667,311.666666666667,200.333333333333
"AARS2_CCDS34464.1_ex15_6:44274752-44274775:+_5-3","AARS2",69,51.1111111111111,55.3333333333333,38.3333333333333,75.6666666666667,52.6666666666667
"AARS2_CCDS34464.1_ex16_6:44275094-44275117:-_5-4","AARS2",395,314,410.833333333333,287.333333333333,317.666666666667,293.333333333333
"AARS2_CCDS34464.1_ex20_6:44279950-44279973:-_5-5","AARS2",498,280.444444444444,354,181.666666666667,333,218.666666666667
"AARSD1_CCDS58552.1_ex10_17:41116157-41116180:-_5-1","AARSD1",524,536.333333333333,530.833333333333,376,337.333333333333,439.333333333333
"AARSD1_CCDS58552.1_ex6_17:41108278-41108301:+_5-3","AARSD1",211,183.888888888889,190.5,204.666666666667,148,161.666666666667
"AARSD1_CCDS58552.1_ex7_17:41108486-41108509:+_5-4","AARSD1",307,382.666666666667,405,266,351.5,377.333333333333
"AARSD1_CCDS58552.1_ex7_17:41108542-41108565:-_5-5","AARSD1",407,263.222222222222,323.5,223.666666666667,302.833333333333,259.666666666667
"AARSD1_CCDS58552.1_ex9_17:41113311-41113334:-_5-2","AARSD1",440,302.555555555556,333,322,343.5,223.666666666667
"AASDH_CCDS3504.1_ex10_4:57237668-57237691:+_5-3","AASDH",322,368.777777777778,450.166666666667,281.666666666667,364.333333333333,267.333333333333
"AASDH_CCDS3504.1_ex10_4:57237733-57237756:+_5-4","AASDH",317,346.333333333333,535.333333333333,277.333333333333,348.833333333333,288.666666666667
"AASDH_CCDS3504.1_ex11_4:57244302-57244325:+_5-5","AASDH",219,165.333333333333,215.666666666667,117.333333333333,123.166666666667,110.333333333333
"AASDH_CCDS3504.1_ex7_4:57220310-57220333:+_5-1","AASDH",501,383.333333333333,595.666666666667,402,501.666666666667,291
"AASDH_CCDS3504.1_ex9_4:57221497-57221520:-_5-2","AASDH",281,283.555555555556,355.166666666667,201.333333333333,254.833333333333,247.666666666667
"AASDHPPT_CCDS31664.1_ex0_11:105948544-105948567:+_5-1","AASDHPPT",574,460,577.666666666667,355.333333333333,482.166666666667,359.666666666667
"AASDHPPT_CCDS31664.1_ex0_11:105948583-105948606:-_5-2","AASDHPPT",373,284.555555555556,292.666666666667,181.333333333333,271.666666666667,286.333333333333
"AASDHPPT_CCDS31664.1_ex1_11:105950310-105950333:-_5-3","AASDHPPT",200,200.444444444444,222.166666666667,164.666666666667,91.3333333333333,102
"AASDHPPT_CCDS31664.1_ex1_11:105950373-105950396:-_5-4","AASDHPPT",455,492.666666666667,576.5,353.666666666667,337.166666666667,392
"AASDHPPT_CCDS31664.1_ex3_11:105962110-105962133:+_5-5","AASDHPPT",73,112.222222222222,141,60.3333333333333,49.5,87.6666666666667
"AASS_CCDS5783.1_ex11_7:121741456-121741479:+_5-1","AASS",111,87.3333333333333,115,78.6666666666667,124.166666666667,114.666666666667
"AASS_CCDS5783.1_ex13_7:121753231-121753254:+_5-2","AASS",309,325.666666666667,435.5,282,303.833333333333,364.333333333333
"AASS_CCDS5783.1_ex15_7:121755121-121755144:+_5-3","AASS",370,341.111111111111,478.666666666667,279,337.666666666667,257.333333333333
"AASS_CCDS5783.1_ex16_7:121756696-121756719:+_5-4","AASS",340,224.555555555556,229.833333333333,181,157.166666666667,158
"AASS_CCDS5783.1_ex22_7:121773585-121773608:-_5-5","AASS",441,434.333333333333,505.166666666667,457.666666666667,450.833333333333,444
"AATF_CCDS32632.1_ex1_17:35307577-35307600:+_5-1","AATF",207,134,115.666666666667,67,74.8333333333333,76.3333333333333
"AATF_CCDS32632.1_ex1_17:35307610-35307633:-_5-2","AATF",491,295.222222222222,347.166666666667,235.333333333333,283.333333333333,180.666666666667
"AATF_CCDS32632.1_ex1_17:35307692-35307715:-_5-3","AATF",271,228.444444444444,218.333333333333,165,271.833333333333,168.666666666667
"AATF_CCDS32632.1_ex2_17:35310322-35310345:+_5-4","AATF",362,267.333333333333,363.833333333333,212,266.666666666667,117.666666666667
"AATF_CCDS32632.1_ex2_17:35310574-35310597:+_5-5","AATF",341,50.5555555555556,56.5,22.6666666666667,75.3333333333333,74.3333333333333
"AATK_CCDS45807.1_ex3_17:79095931-79095954:+_5-1","AATK",563,599.888888888889,595.833333333333,465,560,356
"AATK_CCDS45807.1_ex3_17:79095970-79095993:-_5-2","AATK",473,450.888888888889,562.166666666667,435,813,444.666666666667
"AATK_CCDS45807.1_ex4_17:79096992-79097015:-_5-3","AATK",623,661.888888888889,661.833333333333,511.333333333333,760.833333333333,644
"AATK_CCDS45807.1_ex5_17:79098584-79098607:-_5-4","AATK",553,401.111111111111,354.833333333333,319.666666666667,301.166666666667,312.333333333333
"AATK_CCDS45807.1_ex7_17:79100225-79100248:-_5-5","AATK",358,381.222222222222,440.5,270,355.666666666667,362.666666666667
"ABAT_CCDS10534.1_ex3_16:8844302-8844325:+_5-1","ABAT",346,372.888888888889,451.666666666667,394.666666666667,336.5,300
"ABAT_CCDS10534.1_ex3_16:8844340-8844363:+_5-2","ABAT",437,455.444444444444,546.333333333333,501.333333333333,508.166666666667,394
"ABAT_CCDS10534.1_ex6_16:8858667-8858690:-_5-3","ABAT",370,445.666666666667,474.166666666667,399,432,415.333333333333
"ABAT_CCDS10534.1_ex8_16:8862083-8862106:+_5-4","ABAT",482,491.444444444444,492,342.666666666667,451.333333333333,369.666666666667
"ABAT_CCDS10534.1_ex9_16:8862743-8862766:-_5-5","ABAT",479,512.555555555556,650,466.333333333333,745.333333333333,448.333333333333
"ABCA1_CCDS6762.1_ex28_9:107581892-107581915:+_5-1","ABCA1",331,437.777777777778,591.333333333333,331.666666666667,249.5,396
"ABCA1_CCDS6762.1_ex28_9:107581948-107581971:+_5-2","ABCA1",403,441.222222222222,584.333333333333,457,314.166666666667,331.333333333333
"ABCA1_CCDS6762.1_ex29_9:107582304-107582327:-_5-3","ABCA1",394,503.222222222222,635.5,298.333333333333,241.333333333333,368
"ABCA1_CCDS6762.1_ex36_9:107593327-107593350:-_5-4","ABCA1",406,534.222222222222,548.333333333333,385.333333333333,568.666666666667,452.333333333333
"ABCA1_CCDS6762.1_ex43_9:107620822-107620845:-_5-5","ABCA1",354,335.111111111111,387.5,349.333333333333,363.333333333333,295
"ABCA10_CCDS11684.1_ex20_17:67183873-67183896:-_5-1","ABCA10",271,291.666666666667,337.666666666667,215,149.333333333333,176
"ABCA10_CCDS11684.1_ex21_17:67186574-67186597:-_5-2","ABCA10",441,508.666666666667,558.833333333333,397.666666666667,374.333333333333,382.666666666667
"ABCA10_CCDS11684.1_ex23_17:67188722-67188745:-_5-3","ABCA10",269,260,302.666666666667,162.666666666667,159,336.666666666667
"ABCA10_CCDS11684.1_ex30_17:67210930-67210953:+_5-4","ABCA10",269,291.777777777778,289.333333333333,257.666666666667,199.833333333333,257
"ABCA10_CCDS11684.1_ex34_17:67217983-67218006:-_5-5","ABCA10",179,165.666666666667,229.666666666667,154.666666666667,117,157.666666666667
"ABCA12_CCDS33372.1_ex26_2:215852498-215852521:+_5-1","ABCA12",408,353.222222222222,481.333333333333,319.333333333333,574.333333333333,428.666666666667
"ABCA12_CCDS33372.1_ex28_2:215854281-215854304:-_5-2","ABCA12",174,201.666666666667,245.833333333333,166.333333333333,211.166666666667,234
"ABCA12_CCDS33372.1_ex29_2:215855583-215855606:+_5-3","ABCA12",158,196.888888888889,271.833333333333,137.333333333333,117.666666666667,180
"ABCA12_CCDS33372.1_ex31_2:215865634-215865657:+_5-4","ABCA12",365,414,492.166666666667,339.333333333333,265.166666666667,411.333333333333
"ABCA12_CCDS33372.1_ex32_2:215866357-215866380:+_5-5","ABCA12",74,93.7777777777778,122.166666666667,100.333333333333,50.8333333333333,90.6666666666667
