"sgRNA","gene","logFC","logCPM","LR","PValue","FDR"
"MED18_CCDS322.1_ex1_1:28661051-28661074:-_5-3","MED18",-1.21769611211072,2.03182506895817,13.0559712558714,0.000302319021113813,0.0045697347044457
"CELSR2_CCDS796.1_ex0_1:109795312-109795335:+_5-3","CELSR2",-1.02346658214388,2.84315320506696,13.0519136274295,0.000302974689127805,0.0045789571647545
"UBR4_CCDS189.1_ex58_1:19478236-19478259:+_5-1","UBR4",-1.6802481946189,1.28458113765031,13.0489002500976,0.000303462545232469,0.00458564103705734
"CHMP6_CCDS11774.1_ex3_17:78969536-78969559:+_5-2","CHMP6",-1.20771473165844,2.38887738335194,13.0485843009226,0.000303513742240591,0.00458572550992474
"WARS2_CCDS30817.1_ex4_1:119619070-119619093:+_5-3","WARS2",-1.13784187583769,2.60072621654782,13.0480862963899,0.000303594457528385,0.00458625587590469
"PSMC4_CCDS12547.1_ex4_19:40480518-40480541:+_5-4","PSMC4",-1.04222041415794,2.50651808378228,13.0465635177319,0.000303841399843562,0.00458929681731565
"COX8A_CCDS8054.1_ex0_11:63742249-63742272:+_5-2","COX8A",-0.993403122578803,2.56017474179865,13.0402478661079,0.00030486774487276,0.00460369125261201
"MRPL34_CCDS12356.1_ex1_19:17417085-17417108:+_5-5","MRPL34",-1.10522007977087,2.3630332090796,13.0400751905803,0.000304895855094702,0.00460369125261201
"sgRPS25_4","RPS25_LS",-1.75006752734831,1.74980089391234,13.0398546446064,0.000304931762050304,0.00460369125261201
"NVL_CCDS1541.1_ex11_1:224482020-224482043:+_5-1","NVL",-2.10879597253261,1.65543163457455,13.0377405643121,0.000305276170557565,0.00460819902017605
"GFER_CCDS32368.1_ex1_16:2034774-2034797:+_5-5","GFER",-1.74471406879277,2.52774333692445,13.0358380501378,0.000305586447736224,0.0046121902932197
"UBAP1_CCDS55302.1_ex2_9:34241566-34241589:+_5-4","UBAP1",-0.982951371044026,2.40341497456422,13.0352625024851,0.000305680375264378,0.00461291551139997
"TRAPPC3_CCDS404.1_ex1_1:36603466-36603489:+_6-3","TRAPPC3",-1.17998699180457,2.16735887035244,13.0322297786609,0.000306175787050922,0.00461969826113192
